,rating,标题,评论详情,review,sentiment
1,1.0,游戏挺好就是评分机制太垃圾,对战的对手输了竟然还是满分 我也是醉了 什么垃圾评分,游戏挺好就是评分机制太垃圾，对战的对手输了竟然还是满分 我也是醉了 什么垃圾评分,0
2,2.0,关于游戏的几点看法,"一、关于6刺，手游6刺也太容易成型了吧？经常15波左右2家6刺，这让未成型的阵容哪里顶得住？而且刺客挑后排的卡点有点奇怪，当我把坦克放在后排每次开始都和刺客一样跳上去，我寻思我也没装跳刀啊，而且15波打狼尤其明显，经常前排让开位置给狼切？而且鱼渊刺客三星也太bug了吧，缺控制就在那里钻上钻下恶心人。
二、严重怀疑后台棋子概率存在问题，经常碰到其他人前期5回合三个两星，然后连胜吃经济，神族，刺客互卡依旧多人成型，一家骑士然后棋子根本招募不到？20波一个蝙蝠没有？30波一个巨魔没有？
三、对于吃连败的看法，手游对比游廊对非酋玩家过于苛刻，第八名经常连续碰到前几名，且连败停止后往往搜不到关键阵容的棋子，问题是没人卡这个整容？竟然看到前四中两家都是一样的阵容，然后连败玩没人卡的阵容根本拿不到棋子（非洲人不配游戏）。
行吧，就这样，心理落差有点大，开一两把还被概率恶心到，防非酋成型机制？放任天胡到老？","关于游戏的几点看法，一、关于6刺，手游6刺也太容易成型了吧？经常15波左右2家6刺，这让未成型的阵容哪里顶得住？而且刺客挑后排的卡点有点奇怪，当我把坦克放在后排每次开始都和刺客一样跳上去，我寻思我也没装跳刀啊，而且15波打狼尤其明显，经常前排让开位置给狼切？而且鱼渊刺客三星也太bug了吧，缺控制就在那里钻上钻下恶心人。
二、严重怀疑后台棋子概率存在问题，经常碰到其他人前期5回合三个两星，然后连胜吃经济，神族，刺客互卡依旧多人成型，一家骑士然后棋子根本招募不到？20波一个蝙蝠没有？30波一个巨魔没有？
三、对于吃连败的看法，手游对比游廊对非酋玩家过于苛刻，第八名经常连续碰到前几名，且连败停止后往往搜不到关键阵容的棋子，问题是没人卡这个整容？竟然看到前四中两家都是一样的阵容，然后连败玩没人卡的阵容根本拿不到棋子（非洲人不配游戏）。
行吧，就这样，心理落差有点大，开一两把还被概率恶心到，防非酋成型机制？放任天胡到老？",0
3,4.0,不願透露姓名的肖先生,建議遊戲時長縮短，畢竟是快消時代，另外推出的就直接踢出這場局遊戲，不會浪費時間，他也可以開始另一局,不願透露姓名的肖先生，建議遊戲時長縮短，畢竟是快消時代，另外推出的就直接踢出這場局遊戲，不會浪費時間，他也可以開始另一局,1
4,1.0,垃圾游戏，每天过来骂你一次，今天已经卸载,什么时候不闪退，卡顿我再考虑下载,垃圾游戏，每天过来骂你一次，今天已经卸载，什么时候不闪退，卡顿我再考虑下载,0
5,1.0,这个挂机机制有点狠了。,出去了3秒钟打个字他们就算挂机什么都用不了。一心给上,这个挂机机制有点狠了。，出去了3秒钟打个字他们就算挂机什么都用不了。一心给上,0
7,5.0,好玩,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好,好玩，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好,1
8,2.0,预约奖励,自走棋本来是个挺好的游戏，就是办事效率太差。说好的当初预约给的奖励呢？到现在了还没发？就为了骗我们预约吗？还有就是今天7月11号，就算是7月10号吧，赛季奖励到现在也没发。,预约奖励，自走棋本来是个挺好的游戏，就是办事效率太差。说好的当初预约给的奖励呢？到现在了还没发？就为了骗我们预约吗？还有就是今天7月11号，就算是7月10号吧，赛季奖励到现在也没发。,0
9,4.0,望开发者重视,自走棋游戏不多说。喜欢玩的自然喜欢 不吹不黑。请重视所有热爱自走棋玩家的心声：请重视并严厉打击外挂,望开发者重视，自走棋游戏不多说。喜欢玩的自然喜欢 不吹不黑。请重视所有热爱自走棋玩家的心声：请重视并严厉打击外挂,1
10,3.0,除了连接问题其他都还好,游戏挺好玩。就是网络连接问题有点影响体验。,除了连接问题其他都还好，游戏挺好玩。就是网络连接问题有点影响体验。,0
11,4.0,苹果跟安卓不能互通吗？,不是说2个可以互通吗。为什么现在都还不可以，都没法和朋友一块玩了啊。,苹果跟安卓不能互通吗？，不是说2个可以互通吗。为什么现在都还不可以，都没法和朋友一块玩了啊。,1
